id,product_id,quantity,total_price,date
1,1,12,15599.88,2025-01-15
2,1,8,10399.92,2025-03-22
3,1,15,19499.85,2025-07-05
4,1,10,12999.90,2025-10-18
5,2,6,8999.94,2025-02-12
6,2,11,16499.89,2025-05-30
7,2,9,13499.91,2025-09-14
8,2,7,10499.93,2025-12-01
9,3,5,9499.95,2025-01-28
10,3,8,15199.92,2025-04-10
11,3,3,5699.97,2025-08-23
12,3,6,11399.94,2025-11-15
13,4,4,8799.96,2025-02-05
14,4,7,15399.93,2025-06-18
15,4,3,6599.97,2025-09-27
16,4,5,10999.95,2025-12-10
17,5,3,8399.97,2025-03-08
18,5,6,16799.94,2025-05-22
19,5,2,5599.98,2025-08-15
20,5,4,11199.96,2025-11-30
21,6,8,11999.92,2025-01-20
22,6,5,7499.95,2025-04-15
23,6,10,14999.90,2025-07-27
24,6,6,8999.94,2025-10-05
25,7,15,29999.85,2025-02-18
26,7,8,15999.92,2025-05-12
27,7,12,23999.88,2025-09-03
28,7,10,19999.90,2025-12-15
29,8,6,14999.94,2025-03-01
30,8,9,22499.91,2025-06-25
31,8,4,9999.96,2025-10-12
32,8,7,17499.93,2025-12-28
33,9,10,16999.90,2025-01-10
34,9,12,20399.88,2025-04-22
35,9,8,13599.92,2025-08-09
36,9,5,8499.95,2025-11-05
37,10,20,3599.80,2025-02-28
38,10,15,2699.85,2025-05-17
39,10,25,4499.75,2025-09-20
40,10,18,3239.82,2025-12-03
41,11,8,2799.92,2025-01-25
42,11,12,4199.88,2025-04-30
43,11,6,2099.94,2025-07-15
44,11,10,3499.90,2025-10-28
45,12,15,2399.85,2025-03-15
46,12,22,3519.78,2025-06-10
47,12,13,2079.87,2025-09-08
48,12,18,2879.82,2025-11-22
49,13,25,27499.75,2025-02-08
50,13,30,32999.70,2025-05-25
51,13,18,19799.82,2025-08-30
52,13,22,24199.78,2025-12-20
53,14,12,14399.88,2025-01-05
54,14,15,17999.85,2025-04-18
55,14,10,11999.90,2025-07-22
56,14,8,9599.92,2025-10-15
57,15,20,17999.80,2025-03-10
58,15,15,13499.85,2025-06-22
59,15,25,22499.75,2025-09-15
60,15,18,16199.82,2025-12-05